"iso2c","country","SH.DYN.MORT","year","iso3c","region","capital","longitude","latitude","income","lending"
"4E","East Asia & Pacific (excluding high income)",46.5354313099019,1998,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",20.7924147375466,2012,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",21.9026872321058,2011,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",23.1203987483487,2010,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",24.4196047911101,2009,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",26.5897082476612,2008,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",27.3531923800696,2007,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",29.0958356068324,2006,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",16.6257669549103,2017,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",35.2137724794486,2003,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",33.9936740646929,2004,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",58.5581123604061,1991,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",59.702017288382,1990,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",30.957672259242,2005,"EAP","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",15.6074760839425,2014,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",13.8684196253815,2016,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",14.7228040610329,2015,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",19.4156442809494,2010,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",16.5057494051757,2013,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",17.4115238725055,2012,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",18.3867368523234,2011,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",46.5467004068024,1992,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",46.6391377713594,1991,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",46.9737350946206,1990,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",29.9380603848016,2003,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",13.1367494300188,2017,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",31.9786407568062,2002,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",34.078578134466,2001,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",36.2177163361639,2000,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",38.3430452957192,1999,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",40.3877719525082,1998,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",20.5122185696291,2009,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",21.7485682263949,2008,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",46.4010786547779,1993,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",24.6461173386107,2006,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",26.2836727183965,2005,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",28.0429645026883,2004,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",43.8541137230671,1996,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",23.162744619451,2007,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",45.9799210847191,1994,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",42.2569623476129,1997,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",45.1439233319883,1995,"ECA","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",86.8,2002,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",54.3,2013,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",59.7,2011,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",62.5,2010,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",65.3,2009,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",68.2,2008,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",71.1,2007,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",74.1,2006,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",77.2,2005,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",80.4,2004,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",83.5,2003,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",44.8,2017,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",46.9,2016,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",90.2,2001,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",93.8,2000,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",57,2012,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",108.2,1996,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",97.4,1999,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",101,1998,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",104.6,1997,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",122.2,1992,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",111.8,1995,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",115.3,1994,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",118.7,1993,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",125.8,1991,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",49.3,2015,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",51.7,2014,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",129.4,1990,"SAS","Aggregates","","","","Aggregates","Aggregates"
"AD","Andorra",8.5,1990,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",3.4,2016,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",3.5,2015,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",3.7,2013,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",3.8,2012,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",3.9,2011,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",3.6,2014,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",6.3,1995,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",6.7,1994,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",7.1,1993,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",7.5,1992,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",8,1991,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",3.3,2017,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",4.5,2003,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",4.7,2002,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",4.8,2001,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",5,2000,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",5.2,1999,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",5.4,1998,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",3.9,2010,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",4,2009,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",4.1,2008,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",4.2,2007,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",4.2,2006,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",4.3,2005,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",4.4,2004,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",5.7,1997,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",6,1996,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AE","United Arab Emirates",9.1,2017,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",9,2016,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",8.7,2015,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",8.5,2014,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",8.3,2013,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",8.2,2012,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",8.3,2011,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",8.4,2010,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",8.6,2009,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",8.8,2008,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",9.1,2007,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",9.4,2006,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",9.7,2005,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",10,2004,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",10.3,2003,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",10.6,2002,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",10.9,2001,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",11.2,2000,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",11.6,1999,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",11.9,1998,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",12.3,1997,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",12.7,1996,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",13.2,1995,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",13.7,1994,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",14.3,1993,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",15,1992,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",15.8,1991,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",16.6,1990,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AF","Afghanistan",117.9,2003,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",121.7,2002,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",125.3,2001,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",132.3,1999,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",135.8,1998,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",139.6,1997,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",128.8,2000,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",147.8,1995,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",152.4,1994,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",157.4,1993,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",143.5,1996,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",114.1,2004,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",67.9,2017,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",70.4,2016,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",73.1,2015,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",76,2014,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",79.2,2013,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",82.6,2012,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",86.2,2011,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",90,2010,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",93.9,2009,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",97.9,2008,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",102,2007,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",106.1,2006,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",110.1,2005,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",168.9,1991,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",175.1,1990,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",162.9,1992,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AG","Antigua and Barbuda",13.6,2002,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",14.2,2001,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",14.9,2000,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",13,2003,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",9.5,2011,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",9.8,2010,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",10.3,2009,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",10.7,2008,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",11.1,2007,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",11.5,2006,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",12,2005,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",12.5,2004,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",7.4,2017,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",7.7,2016,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",8,2015,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",8.3,2014,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",8.7,2013,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",9.1,2012,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",15.6,1999,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",16.5,1998,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",17.4,1997,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",18.4,1996,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",19.5,1995,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",20.7,1994,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",22,1993,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",23.3,1992,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",24.7,1991,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",26.3,1990,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AL","Albania",40.1,1990,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",9.1,2016,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",9.7,2014,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",10.1,2013,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",10.7,2012,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
