"iso2c","country","SE.SEC.NENR.FE","year","iso3c","region","capital","longitude","latitude","income","lending"
"1W","World",58.0817184448242,2006,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",57.4659881591797,2005,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",59.9504585266113,2008,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",,2017,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",55.584358215332,2003,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",54.4379196166992,2002,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",53.7012901306152,2001,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",52.822639465332,2000,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",51.9245414733887,1999,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",51.6736488342285,1998,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",,1997,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",,1996,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",,1995,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",,1994,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",,1993,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",,1992,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",56.5894088745117,2004,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",,1990,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",,1991,"WLD","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",61.5092086791992,2001,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",60.3348083496094,2000,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",,1997,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",,1996,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",59.1900405883789,1999,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",62.0392913818359,2002,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",,1993,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",,1992,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",,1995,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",,1994,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",79.863166809082,2016,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",80.7859878540039,2015,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",80.35693359375,2014,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",77.0409698486328,2013,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",57.8791618347168,1998,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",76.2488327026367,2012,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",75.6007690429688,2011,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",73.4798812866211,2010,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",71.540153503418,2009,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",70.1929397583008,2008,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",70.1370086669922,2007,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",68.0724792480469,2006,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",,2017,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",63.8030014038086,2003,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",65.7070922851563,2004,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",,1991,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",,1990,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",67.0765609741211,2005,"EAP","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",87.3103866577148,2014,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",88.3732833862305,2016,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",88.2366104125977,2015,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",82.6908187866211,2010,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",86.5108108520508,2013,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",84.9389495849609,2012,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",84.1528091430664,2011,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",,1992,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",,1991,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",,1990,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",81.6557006835938,2003,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",,2017,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",81.3407287597656,2002,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",81.5162811279297,2001,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",80.0166168212891,2000,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",78.4171524047852,1999,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",,1998,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",80.8727416992188,2009,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",80.9602279663086,2008,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",,1993,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",79.8901062011719,2006,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",78.9285278320313,2005,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",80.5714874267578,2004,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",,1996,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",80.6635513305664,2007,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",,1994,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",,1997,"ECA","Aggregates","","","","Aggregates","Aggregates"
"7E","Europe & Central Asia (excluding high income)",,1995,"ECA","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",36.5856285095215,2002,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",57.7377700805664,2013,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",53.1781692504883,2011,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",50.6999893188477,2010,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",47.8535614013672,2009,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",47.5119209289551,2008,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",45.3255081176758,2007,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",43.2682800292969,2006,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",41.762939453125,2005,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",39.8132781982422,2004,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",38.7100601196289,2003,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",,2017,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",59.499870300293,2016,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",34.6668510437012,2001,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",33.6550712585449,2000,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",55.6783981323242,2012,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",,1996,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",32.481258392334,1999,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",,1998,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",,1997,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",,1992,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",,1995,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",,1994,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",,1993,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",,1991,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",59.021110534668,2015,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",58.3886299133301,2014,"SAS","Aggregates","","","","Aggregates","Aggregates"
"8S","South Asia",,1990,"SAS","Aggregates","","","","Aggregates","Aggregates"
"AD","Andorra",,1990,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2016,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2015,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2013,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2012,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2011,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2014,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,1995,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,1994,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,1993,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,1992,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,1991,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2017,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2003,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2002,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2001,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2000,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,1999,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,1998,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2010,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2009,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2008,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2007,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2006,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2005,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,2004,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,1997,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",,1996,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AE","United Arab Emirates",,2017,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",85.5641174316406,2016,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,2015,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,2014,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,2013,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,2012,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,2011,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,2010,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,2009,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,2008,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,2007,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,2006,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,2005,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,2004,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,2003,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,2002,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,2001,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,2000,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,1999,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",73.0779266357422,1998,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",73.9845428466797,1997,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,1996,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",74.3438034057617,1995,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",70.5640487670898,1994,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,1993,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,1992,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,1991,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",,1990,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AF","Afghanistan",,2003,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,2002,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,2001,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,1999,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,1998,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,1997,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,2000,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,1995,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,1994,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",8.20188999176025,1993,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,1996,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,2004,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",36.1002807617188,2017,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,2016,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",34.5788993835449,2015,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",34.2522392272949,2014,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",33.9350700378418,2013,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,2012,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,2011,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,2010,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,2009,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,2008,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",14.8282299041748,2007,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,2006,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,2005,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,1991,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,1990,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",,1992,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AG","Antigua and Barbuda",,2002,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,2001,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",59.3858299255371,2000,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,2003,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,2011,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",79.7638320922852,2010,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",80.0788497924805,2009,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,2008,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,2007,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,2006,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,2005,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,2004,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,2017,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,2016,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",75.8109970092773,2015,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",74.3673934936523,2014,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,2013,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",86.7612762451172,2012,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,1999,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,1998,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,1997,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,1996,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,1995,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,1994,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,1993,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,1992,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,1991,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AG","Antigua and Barbuda",,1990,"ATG","Latin America & Caribbean ","Saint John's","-61.8456","17.1175","High income","IBRD"
"AL","Albania",,1990,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",84.8021087646484,2016,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",84.4253234863281,2014,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",84.0634918212891,2013,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",,2012,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",84.9589233398438,2015,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",,2010,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",,2009,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"AL","Albania",,2008,"ALB","Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD"
