"region","year","indicator","disaggregation","disagg.value","component","rec","unit","year_range","value.unweighted","value","value.sum","total.pop","n","regional","N"
"Asia","2012","adult_obesity","gender","Male","H",,,"",0.121733805338136,"0.0482269290153394",5.72148885089238,4205129.66,"47",1,
"Asia","2012","adult_obesity","gender","Female","H",,,"",0.183076469622212,"0.0760771488109917",8.60459407224398,4205129.66,"47",1,
"Asia","2013","adult_obesity","gender","Male","H",,,"",0.125970303124842,"0.0510482555623119",5.92060424686756,4250157.693,"47",1,
"Asia","2013","adult_obesity","gender","Female","H",,,"",0.187204594020243,"0.0791273752283949",8.79861591895143,4250157.693,"47",1,
"Asia","2014","adult_obesity","gender","Male","H",,,"",0.130352413992739,"0.0540052983298616",6.12656345765874,4294517.099,"47",1,
"Asia","2014","adult_obesity","gender","Female","H",,,"",0.19141475730442,"0.0822606541496571",8.99649359330774,4294517.099,"47",1,
"Asia","2015","adult_obesity","gender","Male","H",,,"",0.134882667893023,"0.0571057116543752",6.33948539097209,4337971.541,"47",1,
"Asia","2015","adult_obesity","gender","Female","H",,,"",0.195702953832155,"0.0854727885736434",9.1980388301113,4337971.541,"47",1,
"Asia","2016","adult_obesity","gender","Male","H",,,"",0.139560527578544,"0.0603393910678056",6.55934479619158,4380413.096,"47",1,
"Asia","2016","adult_obesity","gender","Female","H",,,"",0.200069319255562,"0.0887587998039936",9.40325800501141,4380413.096,"47",1,
"Africa","1999","adult_obesity","gender","Female","H",,,"",0.0979581686408735,"0.10840720491946",5.1917829379663,790259.026,"53",1,
"Africa","1999","adult_obesity","gender","Male","H",,,"",0.0292215341740707,"0.0360980065509634",1.54874131122575,790259.026,"53",1,
"Africa","2000","adult_obesity","gender","Male","H",,,"",0.0306274273902105,"0.037533632399095",1.62325365168115,809659.075,"53",1,
"Africa","2000","adult_obesity","gender","Female","H",,,"",0.101318420920668,"0.111314174674911",5.36987630879538,809659.075,"53",1,
"Africa","2001","adult_obesity","gender","Female","H",,,"",0.104769127258124,"0.114295247153457",5.55276374468057,829600.451,"53",1,
"Africa","2001","adult_obesity","gender","Male","H",,,"",0.0320907024226628,"0.0390199402674585",1.70080722840113,829600.451,"53",1,
"Africa","2002","adult_obesity","gender","Male","H",,,"",0.0336150788026022,"0.0405604451635789",1.78159917653792,850095.839,"53",1,
"Africa","2002","adult_obesity","gender","Female","H",,,"",0.108310345196651,"0.117352594638787",5.74044829542248,850095.839,"53",1,
"Africa","2003","adult_obesity","gender","Female","H",,,"",0.11194413521398,"0.120487440905615",5.93303916634096,871181.366,"53",1,
"Africa","2003","adult_obesity","gender","Male","H",,,"",0.0352028640430742,"0.0421563982041489",1.86575179428293,871181.366,"53",1,
"Africa","2004","adult_obesity","gender","Female","H",,,"",0.115668925668998,"0.123698042195269",6.1304530604569,892885.538,"53",1,
"Africa","2004","adult_obesity","gender","Male","H",,,"",0.0368571664796855,"0.0438091529173067",1.95342982342333,892885.538,"53",1,
"Africa","2005","adult_obesity","gender","Female","H",,,"",0.119482502513619,"0.126982724228413",6.33257263322182,915237.345,"53",1,
"Africa","2005","adult_obesity","gender","Male","H",,,"",0.0385799570457235,"0.0455205587199361",2.04473772342334,915237.345,"53",1,
"Africa","2006","adult_obesity","gender","Female","H",,,"",0.123382848260153,"0.130346316501474",6.53929095778811,938246.889,"53",1,
"Africa","2006","adult_obesity","gender","Male","H",,,"",0.0403731379261475,"0.0472921703455937",2.13977631008582,938246.889,"53",1,
"Africa","2007","adult_obesity","gender","Male","H",,,"",0.0422385183764181,"0.0491285322324497",2.23864147395016,961943.956,"53",1,
"Africa","2007","adult_obesity","gender","Female","H",,,"",0.127376890757982,"0.133800910017965",6.75097521017307,961943.956,"53",1,
"Africa","2008","adult_obesity","gender","Male","H",,,"",0.0441817373384422,"0.0510415033724979",2.34163207893744,986396.121,"53",1,
"Africa","2008","adult_obesity","gender","Female","H",,,"",0.131462764491906,"0.137360249459411",6.96752651807102,986396.121,"53",1,
"Africa","2009","adult_obesity","gender","Male","H",,,"",0.0462036243279297,"0.0530413187016924",2.44879208938028,1011683.727,"53",1,
"Africa","2009","adult_obesity","gender","Female","H",,,"",0.135630105189033,"0.141032144766477",7.18839557501875,1011683.727,"53",1,
"Africa","2010","adult_obesity","gender","Female","H",,,"",0.139887700344061,"0.144837626710108",7.41404811823523,1037855.464,"53",1,
"Africa","2010","adult_obesity","gender","Male","H",,,"",0.0483081281420613,"0.0551356790262169",2.56033079152925,1037855.464,"53",1,
"Africa","2011","adult_obesity","gender","Male","H",,,"",0.0505014708649041,"0.0573310530549347",2.67657795583992,1064940.928,"53",1,
"Africa","2011","adult_obesity","gender","Female","H",,,"",0.144239295352852,"0.14878272018609",7.64468265370116,1064940.928,"53",1,
"Africa","2012","adult_obesity","gender","Male","H",,,"",0.0527907152885055,"0.0596323137046623",2.79790791029079,1092902.092,"53",1,
"Africa","2012","adult_obesity","gender","Female","H",,,"",0.148684471723729,"0.152859214908952",7.88027700135762,1092902.092,"53",1,
"Africa","2013","adult_obesity","gender","Female","H",,,"",0.15322586723392,"0.157052045554524",8.12097096339777,1121634.015,"53",1,
"Africa","2013","adult_obesity","gender","Male","H",,,"",0.0551836191802171,"0.0620401849641193",2.92473181655151,1121634.015,"53",1,
"Africa","2014","adult_obesity","gender","Male","H",,,"",0.0576916639934696,"0.0645524830273566",3.05765819165389,1150989.268,"53",1,
"Africa","2014","adult_obesity","gender","Female","H",,,"",0.157866699285156,"0.161341666005943",8.36693506211329,1150989.268,"53",1,
"Africa","2015","adult_obesity","gender","Male","H",,,"",0.0603203773180484,"0.0671651123460765",3.19697999785657,1180854.139,"53",1,
"Africa","2015","adult_obesity","gender","Female","H",,,"",0.162603032370977,"0.165707234352846",8.61796071566177,1180854.139,"53",1,
"Africa","2016","adult_obesity","gender","Male","H",,,"",0.0630731276968389,"0.0698799211093361",3.34287576793246,1211190.576,"53",1,
"Africa","2016","adult_obesity","gender","Female","H",,,"",0.167437788010817,"0.170147974675876",8.8742027645733,1211190.576,"53",1,
"Europe","1999","adult_obesity","gender","Female","H",,,"",0.178432711848289,"0.189807670692251",7.13730847393157,726926.647,"40",1,
"Europe","1999","adult_obesity","gender","Male","H",,,"",0.148356438021393,"0.143963780781229",5.93425752085572,726926.647,"40",1,
"Europe","2000","adult_obesity","gender","Female","H",,,"",0.180941151945068,"0.192085912027562",7.23764607780272,726807.651,"40",1,
"Europe","2000","adult_obesity","gender","Male","H",,,"",0.152507424502671,"0.147972866480361",6.10029698010684,726807.651,"40",1,
"Europe","2001","adult_obesity","gender","Female","H",,,"",0.183488448120853,"0.194404230201483",7.33953792483414,726958.257,"40",1,
"Europe","2001","adult_obesity","gender","Male","H",,,"",0.156737607965918,"0.152080805566096",6.26950431863673,726958.257,"40",1,
"Europe","2002","adult_obesity","gender","Female","H",,,"",0.186069565986305,"0.196756414321289",7.44278263945219,727354.628,"40",1,
"Europe","2002","adult_obesity","gender","Male","H",,,"",0.161047713754615,"0.156286395988718",6.44190855018461,727354.628,"40",1,
"Europe","2003","adult_obesity","gender","Male","H",,,"",0.165437436393969,"0.160579729902029",6.61749745575877,727993.768,"40",1,
"Europe","2003","adult_obesity","gender","Female","H",,,"",0.188683456478789,"0.199145509055372",7.54733825915157,727993.768,"40",1,
"Europe","2004","adult_obesity","gender","Male","H",,,"",0.169899258401057,"0.164951172588953",6.79597033604226,728846.382,"40",1,
"Europe","2004","adult_obesity","gender","Female","H",,,"",0.191326603278799,"0.201577894258876",7.65306413115198,728846.382,"40",1,
"Europe","2005","adult_obesity","gender","Male","H",,,"",0.174429945871405,"0.169394540955096",6.97719783485619,729880.217,"40",1,
"Europe","2005","adult_obesity","gender","Female","H",,,"",0.193992416620056,"0.204051453747938",7.75969666480223,729880.217,"40",1,
"Europe","2006","adult_obesity","gender","Male","H",,,"",0.179021942673548,"0.173908726244402",7.1608777069419,731117.988,"40",1,
"Europe","2006","adult_obesity","gender","Female","H",,,"",0.196679332808228,"0.206576404045065",7.86717331232911,731117.988,"40",1,
"Europe","2007","adult_obesity","gender","Male","H",,,"",0.183669700027912,"0.178486499930493",7.3467880011165,732547.352,"40",1,
"Europe","2007","adult_obesity","gender","Female","H",,,"",0.199386710880112,"0.209144454296397",7.97546843520446,732547.352,"40",1,
"Europe","2008","adult_obesity","gender","Male","H",,,"",0.188373883878846,"0.18312125214526",7.53495535515384,734054.619,"40",1,
"Europe","2008","adult_obesity","gender","Female","H",,,"",0.202104879870645,"0.211741692123062",8.0841951948258,734054.619,"40",1,
"Europe","2009","adult_obesity","gender","Male","H",,,"",0.193130905219737,"0.187803824172627",7.72523620878947,735487.956,"40",1,
"Europe","2009","adult_obesity","gender","Female","H",,,"",0.204835722236774,"0.214360664685361",8.19342888947097,735487.956,"40",1,
"Europe","2010","adult_obesity","gender","Male","H",,,"",0.197948214233028,"0.192536688217556",7.91792856932111,736737.187,"40",1,
"Europe","2010","adult_obesity","gender","Female","H",,,"",0.207580772089506,"0.21699179688387",8.30323088358026,736737.187,"40",1,
"Europe","2011","adult_obesity","gender","Male","H",,,"",0.202820228578141,"0.197311941193958",8.11280914312563,737748.474,"40",1,
"Europe","2011","adult_obesity","gender","Female","H",,,"",0.210339291819821,"0.219635219891253",8.41357167279283,737748.474,"40",1,
"Europe","2012","adult_obesity","gender","Male","H",,,"",0.207755909119608,"0.202143985076721",8.31023636478432,738544.443,"40",1,
"Europe","2012","adult_obesity","gender","Female","H",,,"",0.213123481303862,"0.222298644096939",8.52493925215447,738544.443,"40",1,
"Europe","2013","adult_obesity","gender","Male","H",,,"",0.212766590975334,"0.207043425929148",8.51066363901335,739186.502,"40",1,
"Europe","2013","adult_obesity","gender","Female","H",,,"",0.215938474872745,"0.224987668522003",8.63753899490981,739186.502,"40",1,
"Europe","2014","adult_obesity","gender","Female","H",,,"",0.218789335631557,"0.22771024870675",8.7515734252623,739773.575,"40",1,
"Europe","2014","adult_obesity","gender","Male","H",,,"",0.217860966070195,"0.212025078510498",8.71443864280779,739773.575,"40",1,
"Europe","2015","adult_obesity","gender","Female","H",,,"",0.221676429718349,"0.230470807709896",8.86705718873396,740374.368,"40",1,
"Europe","2015","adult_obesity","gender","Male","H",,,"",0.223046397588476,"0.217098211319313",8.92185590353906,740374.368,"40",1,
"Europe","2016","adult_obesity","gender","Female","H",,,"",0.224615213120937,"0.233279785419959",8.98460852483749,741005.186,"40",1,
"Europe","2016","adult_obesity","gender","Male","H",,,"",0.228333549907799,"0.22227194095749",9.13334199631195,741005.186,"40",1,
"Latin America and the Caribbean","1999","adult_obesity","gender","Female","H",,,"",0.20039356543957,"0.19795406027648",6.61298765950582,513048.982,"33",1,
"Latin America and the Caribbean","1999","adult_obesity","gender","Male","H",,,"",0.0999516439379647,"0.121283599339537",3.29840424995284,513048.982,"33",1,
"Latin America and the Caribbean","2000","adult_obesity","gender","Female","H",,,"",0.205457070300903,"0.202612909278156",6.7800833199298,520545.183,"33",1,
"Latin America and the Caribbean","2000","adult_obesity","gender","Male","H",,,"",0.103816361178383,"0.12556707561276",3.42593991888664,520545.183,"33",1,
"Latin America and the Caribbean","2001","adult_obesity","gender","Male","H",,,"",0.107757842344982,"0.129885242057684",3.5560087973844,527880.473,"33",1,
"Latin America and the Caribbean","2001","adult_obesity","gender","Female","H",,,"",0.210551457068096,"0.207263843447595",6.94819808324717,527880.473,"33",1,
"Latin America and the Caribbean","2002","adult_obesity","gender","Female","H",,,"",0.215676679635077,"0.211911034168329",7.11733042795754,535069.4,"33",1,
"Latin America and the Caribbean","2002","adult_obesity","gender","Male","H",,,"",0.111774891046375,"0.134238665655793",3.68857140453037,535069.4,"33",1,
"Latin America and the Caribbean","2003","adult_obesity","gender","Male","H",,,"",0.115869845170426,"0.138630981630193",3.82370489062405,542164.874,"33",1,
"Latin America and the Caribbean","2003","adult_obesity","gender","Female","H",,,"",0.220828243154297,"0.216564503693458",7.28733202409181,542164.874,"33",1,
"Latin America and the Caribbean","2004","adult_obesity","gender","Female","H",,,"",0.226006961892773,"0.221235223608203",7.4582297424615,549239.946,"33",1,
"Latin America and the Caribbean","2004","adult_obesity","gender","Male","H",,,"",0.120045771704616,"0.143075037613104",3.96151046625234,549239.946,"33",1,
"Latin America and the Caribbean","2005","adult_obesity","gender","Female","H",,,"",0.231218283887676,"0.225931329040638",7.6302033682933,556347.302,"33",1,
"Latin America and the Caribbean","2005","adult_obesity","gender","Male","H",,,"",0.124302168164843,"0.147575802553037",4.10197154943981,556347.302,"33",1,
"Latin America and the Caribbean","2006","adult_obesity","gender","Male","H",,,"",0.128646084542191,"0.152135957652693",4.24532078989229,563502.627,"33",1,
"Latin America and the Caribbean","2006","adult_obesity","gender","Female","H",,,"",0.236469089194335,"0.230668112897198",7.80347994341304,563502.627,"33",1,
"Latin America and the Caribbean","2007","adult_obesity","gender","Male","H",,,"",0.133075706098677,"0.156744518247716",4.39149830125635,570690.217,"33",1,
"Latin America and the Caribbean","2007","adult_obesity","gender","Female","H",,,"",0.241754183216248,"0.235436267757826",7.97788804613618,570690.217,"33",1,
"Latin America and the Caribbean","2008","adult_obesity","gender","Female","H",,,"",0.247071634613329,"0.240231997279667",8.15336394223986,577891.977,"33",1,
"Latin America and the Caribbean","2008","adult_obesity","gender","Male","H",,,"",0.137599446607479,"0.16141462818957",4.54078173804679,577891.977,"33",1,
"Latin America and the Caribbean","2009","adult_obesity","gender","Female","H",,,"",0.25243692399189,"0.245059200449915",8.33041849173237,585077.197,"33",1,
"Latin America and the Caribbean","2009","adult_obesity","gender","Male","H",,,"",0.142229515507157,"0.166161244954791",4.6935740117362,585077.197,"33",1,
"Latin America and the Caribbean","2010","adult_obesity","gender","Female","H",,,"",0.257847554346274,"0.249912845981695",8.50896929342704,592220.248,"33",1,
"Latin America and the Caribbean","2010","adult_obesity","gender","Male","H",,,"",0.14696741487575,"0.170978853497274",4.84992469089976,592220.248,"33",1,
"Latin America and the Caribbean","2011","adult_obesity","gender","Female","H",,,"",0.263326115287457,"0.25480495008457",8.68976180448607,599316.949,"33",1,
"Latin America and the Caribbean","2011","adult_obesity","gender","Male","H",,,"",0.151826593847207,"0.17586771270057",5.01027759695783,599316.949,"33",1,
"Latin America and the Caribbean","2012","adult_obesity","gender","Female","H",,,"",0.268862221776107,"0.259728778055381",8.87245331861155,606366.513,"33",1,
"Latin America and the Caribbean","2012","adult_obesity","gender","Male","H",,,"",0.156812813225435,"0.180829571532133",5.17482283643934,606366.513,"33",1,
"Latin America and the Caribbean","2013","adult_obesity","gender","Female","H",,,"",0.274456277686591,"0.264688823212388",9.0570571636575,613349.122,"33",1,
"Latin America and the Caribbean","2013","adult_obesity","gender","Male","H",,,"",0.161933677936442,"0.185875922555749",5.34381137190259,613349.122,"33",1,
"Latin America and the Caribbean","2014","adult_obesity","gender","Female","H",,,"",0.280107526219804,"0.269685922036593",9.24354836525354,620241.368,"33",1,
"Latin America and the Caribbean","2014","adult_obesity","gender","Male","H",,,"",0.167203858522855,"0.191027590704525",5.51772733125422,620241.368,"33",1,
"Latin America and the Caribbean","2015","adult_obesity","gender","Male","H",,,"",0.172630518173689,"0.196287979716618",5.69680709973172,627024.456,"33",1,
"Latin America and the Caribbean","2015","adult_obesity","gender","Female","H",,,"",0.285815349805715,"0.274719367072281",9.43190654358859,627024.456,"33",1,
"Latin America and the Caribbean","2016","adult_obesity","gender","Female","H",,,"",0.291566954430644,"0.279770508048971",9.62170949621127,633687.131,"33",1,
"Latin America and the Caribbean","2016","adult_obesity","gender","Male","H",,,"",0.178214392932256,"0.201648013563344",5.88107496676445,633687.131,"33",1,
"Oceania","1999","adult_obesity","gender","Female","H",,,"",0.353303845623379,"0.201887619731308",4.9462538387273,30054.57,"14",1,
"Oceania","1999","adult_obesity","gender","Male","H",,,"",0.251286485325103,"0.173964416553619",3.51801079455144,30054.57,"14",1,
"Oceania","2000","adult_obesity","gender","Female","H",,,"",0.358895084034555,"0.206813248164421",5.02453117648377,30461.274,"14",1,
"Oceania","2000","adult_obesity","gender","Male","H",,,"",0.257326998585114,"0.179009127801223",3.6025779801916,30461.274,"14",1,
"Oceania","2001","adult_obesity","gender","Female","H",,,"",0.364497837546673,"0.211764702398941",5.10296972565343,30878.33,"14",1,
"Oceania","2001","adult_obesity","gender","Male","H",,,"",0.263470438310648,"0.184126398949902",3.68858613634907,30878.33,"14",1,
"Oceania","2002","adult_obesity","gender","Female","H",,,"",0.370107503588587,"0.216735318859983",5.18150505024021,31307.161,"14",1,
"Oceania","2002","adult_obesity","gender","Male","H",,,"",0.269710944376888,"0.189306425266189",3.77595322127643,31307.161,"14",1,
"Oceania","2003","adult_obesity","gender","Female","H",,,"",0.375712802293769,"0.221726017397706",5.25997923211276,31756.977,"14",1,
"Oceania","2003","adult_obesity","gender","Male","H",,,"",0.276037339602709,"0.194541068435002",3.86452275443792,31756.977,"14",1,
"Oceania","2004","adult_obesity","gender","Female","H",,,"",0.381311094633663,"0.226722996899965",5.33835532487128,32239.409,"14",1,
"Oceania","2004","adult_obesity","gender","Male","H",,,"",0.282441008246712,"0.199828562414333",3.95417411545397,32239.409,"14",1,
"Oceania","2005","adult_obesity","gender","Male","H",,,"",0.288933598081118,"0.205180724396051",4.04507037313565,32761.632,"14",1,
"Oceania","2005","adult_obesity","gender","Female","H",,,"",0.386895795860787,"0.231715816274095",5.41654114205102,32761.632,"14",1,
"Oceania","2006","adult_obesity","gender","Male","H",,,"",0.295466709388274,"0.210577771037606",4.13653393143584,33328.287,"14",1,
"Oceania","2006","adult_obesity","gender","Female","H",,,"",0.392460263713087,"0.236700488499935",5.49444369198322,33328.287,"14",1,
"Oceania","2007","adult_obesity","gender","Female","H",,,"",0.398002947579557,"0.241678608443975",5.57204126611379,33933.972,"14",1,
"Oceania","2007","adult_obesity","gender","Male","H",,,"",0.302061632659971,"0.216026175569558",4.22886285723959,33933.972,"14",1,
"Oceania","2008","adult_obesity","gender","Male","H",,,"",0.308703893591195,"0.22153241692303",4.32185451027673,34563.344,"14",1,
"Oceania","2008","adult_obesity","gender","Female","H",,,"",0.403524962642662,"0.246658916686734",5.64934947699727,34563.344,"14",1,
"Oceania","2009","adult_obesity","gender","Male","H",,,"",0.315384314854111,"0.227096851223696",4.41538040795756,35194.806,"14",1,
"Oceania","2009","adult_obesity","gender","Female","H",,,"",0.40901820463257,"0.251653285198766",5.72625486485599,35194.806,"14",1,
"Oceania","2010","adult_obesity","gender","Male","H",,,"",0.322102786313894,"0.232709720057664",4.50943900839452,35812.461,"14",1,
"Oceania","2010","adult_obesity","gender","Female","H",,,"",0.414470406216082,"0.256657571331987",5.80258568702515,35812.461,"14",1,
"Oceania","2011","adult_obesity","gender","Male","H",,,"",0.328850379494953,"0.238375204639132",4.60390531292934,36410.426,"14",1,
"Oceania","2011","adult_obesity","gender","Female","H",,,"",0.419874932279945,"0.261685726928524",5.87824905191924,36410.426,"14",1,
"Oceania","2012","adult_obesity","gender","Male","H",,,"",0.335632900325626,"0.244119666415103",4.69886060455877,36991.925,"14",1,
"Oceania","2012","adult_obesity","gender","Female","H",,,"",0.425247322375658,"0.266756634667682",5.95346251325922,36991.925,"14",1,
"Oceania","2013","adult_obesity","gender","Male","H",,,"",0.342455039051181,"0.249951913723702",4.79437054671654,37561.135,"14",1,
"Oceania","2013","adult_obesity","gender","Female","H",,,"",0.430592789022601,"0.271881982341315",6.02829904631642,37561.135,"14",1,
"Oceania","2014","adult_obesity","gender","Male","H",,,"",0.349315047037429,"0.255876229661307",4.890410658524,38125.828,"14",1,
"Oceania","2014","adult_obesity","gender","Female","H",,,"",0.435918951771516,"0.277064342854091",6.10286532480123,38125.828,"14",1,
"Oceania","2015","adult_obesity","gender","Male","H",,,"",0.356208146133332,"0.261917548583525",4.98691404586665,38691.653,"14",1,
"Oceania","2015","adult_obesity","gender","Female","H",,,"",0.441221868817325,"0.282297357471532",6.17710616344254,38691.653,"14",1,
"Oceania","2016","adult_obesity","gender","Female","H",,,"",0.446500894195169,"0.287598423963946",6.25101251873237,39258.845,"14",1,
"Oceania","2016","adult_obesity","gender","Male","H",,,"",0.363136113711464,"0.268090144684606",5.08390559196049,39258.845,"14",1,
"N. America","1999","adult_obesity","gender","Female","H",,,"",0.232905200966741,"0.256243098763661",0.465810401933482,309316.161,"2",1,
"N. America","1999","adult_obesity","gender","Male","H",,,"",0.212745732074063,"0.22872575493674",0.425491464148127,309316.161,"2",1,
"N. America","2000","adult_obesity","gender","Male","H",,,"",0.219627310934642,"0.236188420859687",0.439254621869284,312718.551,"2",1,
"N. America","2000","adult_obesity","gender","Female","H",,,"",0.239209865989832,"0.263169633996733",0.478419731979664,312718.551,"2",1,
"N. America","2001","adult_obesity","gender","Male","H",,,"",0.226446947409915,"0.24358087993577",0.452893894819829,315877.123,"2",1,
"N. America","2001","adult_obesity","gender","Female","H",,,"",0.245421344237559,"0.269966998468827",0.490842688475117,315877.123,"2",1,
"N. America","2002","adult_obesity","gender","Female","H",,,"",0.251528068827546,"0.276627642620741",0.503056137655092,318827.736,"2",1,
"N. America","2002","adult_obesity","gender","Male","H",,,"",0.23320092805858,"0.250884562669979",0.46640185611716,318827.736,"2",1,
"N. America","2003","adult_obesity","gender","Male","H",,,"",0.239883934529823,"0.258101957640223",0.479767869059646,321655.43,"2",1,
"N. America","2003","adult_obesity","gender","Female","H",,,"",0.257542091799974,"0.283168628009898",0.515084183599947,321655.43,"2",1,
"N. America","2004","adult_obesity","gender","Male","H",,,"",0.246495915871493,"0.265233467105968",0.492991831742987,324488.741,"2",1,
"N. America","2004","adult_obesity","gender","Female","H",,,"",0.263447047257875,"0.289571563998351",0.52689409451575,324488.741,"2",1,
"N. America","2005","adult_obesity","gender","Male","H",,,"",0.253040116402881,"0.272284884879839",0.506080232805763,327417.481,"2",1,
"N. America","2005","adult_obesity","gender","Female","H",,,"",0.26926113518269,"0.295865252558922",0.53852227036538,327417.481,"2",1,
"N. America","2006","adult_obesity","gender","Male","H",,,"",0.259524241877598,"0.279266432780456",0.519048483755196,330472.839,"2",1,
"N. America","2006","adult_obesity","gender","Female","H",,,"",0.275005435272413,"0.302060616974913",0.550010870544825,330472.839,"2",1,
"N. America","2007","adult_obesity","gender","Male","H",,,"",0.26597489795919,"0.286198484366828",0.53194979591838,333615.107,"2",1,
"N. America","2007","adult_obesity","gender","Female","H",,,"",0.280689265580231,"0.308176057232041",0.561378531160463,333615.107,"2",1,
"N. America","2008","adult_obesity","gender","Female","H",,,"",0.286325945110915,"0.314222279880953",0.572651890221831,336778.615,"2",1,
"N. America","2008","adult_obesity","gender","Male","H",,,"",0.272399697453098,"0.293090824989022",0.544799394906195,336778.615,"2",1,
"N. America","2009","adult_obesity","gender","Female","H",,,"",0.291942038502474,"0.320223004435515",0.583884077004949,339866.193,"2",1,
"N. America","2009","adult_obesity","gender","Male","H",,,"",0.278816063330911,"0.299965094398162",0.557632126661823,339866.193,"2",1,
"N. America","2010","adult_obesity","gender","Male","H",,,"",0.285233825087888,"0.306829214436348",0.570467650175775,342810.059,"2",1,
"N. America","2010","adult_obesity","gender","Female","H",,,"",0.297537187409601,"0.326187923061886",0.595074374819201,342810.059,"2",1,
"N. America","2011","adult_obesity","gender","Male","H",,,"",0.291670270943483,"0.313686493629767",0.583340541886966,345589.995,"2",1,
"N. America","2011","adult_obesity","gender","Female","H",,,"",0.303141787119241,"0.332143504680491",0.606283574238481,345589.995,"2",1,
"N. America","2012","adult_obesity","gender","Male","H",,,"",0.298141380883207,"0.320565087883432",0.596282761766413,348236.128,"2",1,
"N. America","2012","adult_obesity","gender","Female","H",,,"",0.308749091674107,"0.338075054361979",0.617498183348214,348236.128,"2",1,
"N. America","2013","adult_obesity","gender","Male","H",,,"",0.304653765221534,"0.327475057238508",0.609307530443068,350792.171,"2",1,
"N. America","2013","adult_obesity","gender","Female","H",,,"",0.314370815849082,"0.344003482596545",0.628741631698164,350792.171,"2",1,
"N. America","2014","adult_obesity","gender","Male","H",,,"",0.311229209587855,"0.334424757112281",0.622458419175711,353323.507,"2",1,
"N. America","2014","adult_obesity","gender","Female","H",,,"",0.320032691194854,"0.349947075895894",0.640065382389708,353323.507,"2",1,
"N. America","2015","adult_obesity","gender","Male","H",,,"",0.317871391252767,"0.341430842743372",0.635742782505533,355878.871,"2",1,
